topic,polarity,claim_type,confidence,needs_verification,buyer_impact,claim_summary,source_channel,source_owner,source_title,source_url,source_video_id,timestamp_start,transcript_language,extraction_provider,extraction_method,content_reuse_policy,usage_rights,reuse_policy,raw_transcript_stored,claim_file,claim_dir
Alfa Romeo,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Alfa Romeo; requiere revision editorial o AI antes de publicarse como afirmacion.,El Dios de los Autos,El Dios de los Autos,"¡MG ACABA DE COMPRAR JEEP, ALFA ROMEO Y MASERATI!",https://www.youtube.com/watch?v=IVNVRKQ6D68,IVNVRKQ6D68,,,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/IVNVRKQ6D68.json,youtube-library-output/knowledge/claims
Alfa Romeo,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre Alfa Romeo; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Sergio Oliveira,Sergio Oliveira,Me lo compro o no me lo compro. Alfa Romeo y Audi,https://www.youtube.com/watch?v=I_fLLaMrC7c,I_fLLaMrC7c,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/I_fLLaMrC7c.json,youtube-library-output/knowledge/claims
Alfa Romeo,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Alfa Romeo; requiere revision editorial o AI antes de publicarse como afirmacion.,Sergio Oliveira,Sergio Oliveira,"¿Me lo compro o no me lo compro? | Con Lalo Vargas | Peugeot, Ram y Renault",https://www.youtube.com/watch?v=RJuaMqk0J_M,RJuaMqk0J_M,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/RJuaMqk0J_M.json,youtube-library-output/knowledge/claims
Alfa Romeo,positive,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion favorable sobre Alfa Romeo; requiere revision editorial o AI antes de publicarse como afirmacion.,Sergio Oliveira,Sergio Oliveira,"¿Me lo compro o no me lo compro? | Con Lalo Vargas | Peugeot, Ram y Renault",https://www.youtube.com/watch?v=RJuaMqk0J_M,RJuaMqk0J_M,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/RJuaMqk0J_M.json,youtube-library-output/knowledge/claims
Audi,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Audi; requiere revision editorial o AI antes de publicarse como afirmacion.,Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,"113. ¿De qué nos disfrazamos?, Chirey Omoda 5, Ford Bronco Raptor, Honda Odyssey Black Edition.",https://www.youtube.com/watch?v=3HWIPj0zR3c,3HWIPj0zR3c,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/3HWIPj0zR3c.json,youtube-library-output/knowledge/claims
Audi,positive,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion favorable sobre Audi; requiere revision editorial o AI antes de publicarse como afirmacion.,Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,"113. ¿De qué nos disfrazamos?, Chirey Omoda 5, Ford Bronco Raptor, Honda Odyssey Black Edition.",https://www.youtube.com/watch?v=3HWIPj0zR3c,3HWIPj0zR3c,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/3HWIPj0zR3c.json,youtube-library-output/knowledge/claims
Audi,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Audi; requiere revision editorial o AI antes de publicarse como afirmacion.,Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,"146. Tesla en México, Comprar en agencias de contado, Mazda CX-50",https://www.youtube.com/watch?v=fOfo6GORkWs,fOfo6GORkWs,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/fOfo6GORkWs.json,youtube-library-output/knowledge/claims
Audi,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Audi; requiere revision editorial o AI antes de publicarse como afirmacion.,Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,"193. Chevrolet Montana, Suzuki Fronx, Vuelve GTI, Precios Polo, BR-V y Acord",https://www.youtube.com/watch?v=ceNBj66rGvQ,ceNBj66rGvQ,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/ceNBj66rGvQ.json,youtube-library-output/knowledge/claims
Audi,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Audi; requiere revision editorial o AI antes de publicarse como afirmacion.,Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,"32. Audi A3 Sedan, Ford Mondeo, Mazda el mejor lugar para trabajar, Toyota Yaris GRMN",https://www.youtube.com/watch?v=XU_i1DgxASY,XU_i1DgxASY,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/XU_i1DgxASY.json,youtube-library-output/knowledge/claims
Audi,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Audi; requiere revision editorial o AI antes de publicarse como afirmacion.,Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,"76. Onix 2023, Cupra León 245, Precios Chirey, Historias de Chevy.",https://www.youtube.com/watch?v=4YE48mPc8pM,4YE48mPc8pM,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/4YE48mPc8pM.json,youtube-library-output/knowledge/claims
Audi,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Audi; requiere revision editorial o AI antes de publicarse como afirmacion.,Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,"Audi A3 Sedan, Ford Mondeo, Mazda el mejor lugar para trabajar, Toyota Yaris GRMN | Podcast #32",https://www.youtube.com/watch?v=MTnDZy3vkmk,MTnDZy3vkmk,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/MTnDZy3vkmk.json,youtube-library-output/knowledge/claims
Audi,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Audi; requiere revision editorial o AI antes de publicarse como afirmacion.,Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,"Chevrolet Montana, Toyota Avanza 2022, Volvo C40 Recharge, Jac o Maserati | Podcast #48",https://www.youtube.com/watch?v=XZbAJU5j15Y,XZbAJU5j15Y,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/XZbAJU5j15Y.json,youtube-library-output/knowledge/claims
Audi,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre Audi; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",El Dios de los Autos,El Dios de los Autos,"CADILLAC ACABA DE APLASTAR A BMW, AUDI Y MERCEDES (Y NADIE LO HA NOTADO)",https://www.youtube.com/watch?v=6leoXMpsOjw,6leoXMpsOjw,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/6leoXMpsOjw.json,youtube-library-output/knowledge/claims
Audi,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Audi; requiere revision editorial o AI antes de publicarse como afirmacion.,El Dios de los Autos,El Dios de los Autos,"NO COMPRE TOYOTA, HONDA O MAZDA NUEVOS EN ESTE MOMENTO",https://www.youtube.com/watch?v=uxW9LZ9yuuw,uxW9LZ9yuuw,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/uxW9LZ9yuuw.json,youtube-library-output/knowledge/claims
Audi,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Audi; requiere revision editorial o AI antes de publicarse como afirmacion.,El Dios de los Autos,El Dios de los Autos,"¿BMW, AUDI O MERCEDES? |EXPLICACIÓN A PRUEBA DE IDIOTAS",https://www.youtube.com/watch?v=UuNlqloMIsY,UuNlqloMIsY,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/UuNlqloMIsY.json,youtube-library-output/knowledge/claims
Audi,positive,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion favorable sobre Audi; requiere revision editorial o AI antes de publicarse como afirmacion.,El Dios de los Autos,El Dios de los Autos,¿Compro un AUDI A1 o un TOYOTA COROLLA? AHORA CUESTAN IGUAL,https://www.youtube.com/watch?v=xJKQKFfs9ew,xJKQKFfs9ew,,,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/xJKQKFfs9ew.json,youtube-library-output/knowledge/claims
Audi,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre Audi; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Jaime Gabaldoni,Jaime Gabaldoni,Audi Q8 Sportback e-tron 2024 - 🔋 una de las mejores SUV eléctricas hoy ⚡️ | Reseña Jaime Gabaldoni,https://www.youtube.com/watch?v=t2HI1mdkrZk,t2HI1mdkrZk,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/t2HI1mdkrZk.json,youtube-library-output/knowledge/claims
Audi,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre Audi; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Jaime Gabaldoni,Jaime Gabaldoni,"Audi RS 7 Performance 2025: potencia, lujo y tecnología | Prueba de manejo | Jaime Gabaldoni",https://www.youtube.com/watch?v=arDaOi3bbhA,arDaOi3bbhA,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/arDaOi3bbhA.json,youtube-library-output/knowledge/claims
Audi,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre Audi; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Sergio Oliveira,Sergio Oliveira,Audi Q8 S Line 2020. La Mejor en su clase.,https://www.youtube.com/watch?v=0agsGb2JgMw,0agsGb2JgMw,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/0agsGb2JgMw.json,youtube-library-output/knowledge/claims
Audi,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre Audi; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Sergio Oliveira,Sergio Oliveira,Me lo compro o no me lo compro. Alfa Romeo y Audi,https://www.youtube.com/watch?v=I_fLLaMrC7c,I_fLLaMrC7c,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/I_fLLaMrC7c.json,youtube-library-output/knowledge/claims
Audi,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre Audi; requiere revision editorial o AI antes de publicarse como afirmacion.,Sergio Oliveira,Sergio Oliveira,Seat León Cupra 2017. Velocidad a precio de ganga,https://www.youtube.com/watch?v=c6lV2K20_vg,c6lV2K20_vg,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/c6lV2K20_vg.json,youtube-library-output/knowledge/claims
BMW,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre BMW; requiere revision editorial o AI antes de publicarse como afirmacion.,Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,BMW M240i Xdrive 2025 | PruebameLa... Nave #235 | Reseña,https://www.youtube.com/watch?v=5b0XhhpGHlc,5b0XhhpGHlc,,,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/5b0XhhpGHlc.json,youtube-library-output/knowledge/claims
BMW,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre BMW; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,BMW X6M50I 2021 | PruebameLa... Nave #137 | Reseña,https://www.youtube.com/watch?v=jkAknhO9cfs,jkAknhO9cfs,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/jkAknhO9cfs.json,youtube-library-output/knowledge/claims
BMW,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre BMW; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,boot accu air sema 2016 las vegas nevada nissan gtr lamborghini bmw mercedes benz,https://www.youtube.com/watch?v=4hyw3gHG4YA,4hyw3gHG4YA,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/4hyw3gHG4YA.json,youtube-library-output/knowledge/claims
BMW,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre BMW; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",CarsLatino,CarsLatino,5 BMW QUE NO DEBERÍAS COMPRAR Y 5 QUE SI *CarsLatino*,https://www.youtube.com/watch?v=hfnxIwleCjo,hfnxIwleCjo,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/hfnxIwleCjo.json,youtube-library-output/knowledge/claims
BMW,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre BMW; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",CarsLatino,CarsLatino,Prueba de Manejo BMW 330iA Sport Line 2018 *CarsLatino*,https://www.youtube.com/watch?v=uKEpI2sTjjU,uKEpI2sTjjU,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/uKEpI2sTjjU.json,youtube-library-output/knowledge/claims
BMW,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre BMW; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",El Dios de los Autos,El Dios de los Autos,"CADILLAC ACABA DE APLASTAR A BMW, AUDI Y MERCEDES (Y NADIE LO HA NOTADO)",https://www.youtube.com/watch?v=6leoXMpsOjw,6leoXMpsOjw,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/6leoXMpsOjw.json,youtube-library-output/knowledge/claims
BMW,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre BMW; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",El Dios de los Autos,El Dios de los Autos,COMPRÉ UN VOLVO XC40 HIBRIDO ¿REALMENTE DESTROZA AL BMW X1?,https://www.youtube.com/watch?v=oKHE7t_hGjs,oKHE7t_hGjs,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/oKHE7t_hGjs.json,youtube-library-output/knowledge/claims
BMW,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre BMW; requiere revision editorial o AI antes de publicarse como afirmacion.,El Dios de los Autos,El Dios de los Autos,MG ACABA DE COMPRAR BMW (ESTO LO CAMBIA TODO),https://www.youtube.com/watch?v=8rRsSjBmFzI,8rRsSjBmFzI,,,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/8rRsSjBmFzI.json,youtube-library-output/knowledge/claims
BMW,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre BMW; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Jaime Gabaldoni,Jaime Gabaldoni,"Audi RS 7 Performance 2025: potencia, lujo y tecnología | Prueba de manejo | Jaime Gabaldoni",https://www.youtube.com/watch?v=arDaOi3bbhA,arDaOi3bbhA,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/arDaOi3bbhA.json,youtube-library-output/knowledge/claims
BMW,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre BMW; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Jaime Gabaldoni,Jaime Gabaldoni,BMW 330i xDrive 2025: ¿vale la pena? | Prueba de manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=r0wxQs3Wizw,r0wxQs3Wizw,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/r0wxQs3Wizw.json,youtube-library-output/knowledge/claims
BMW,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre BMW; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Jaime Gabaldoni,Jaime Gabaldoni,BMW R 1250 RT 2023: Touring de lujo en el Gran Cañón | Prueba de manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=q4Eha0ON8do,q4Eha0ON8do,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/q4Eha0ON8do.json,youtube-library-output/knowledge/claims
BMW,positive,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion favorable sobre BMW; requiere revision editorial o AI antes de publicarse como afirmacion.,Jaime Gabaldoni,Jaime Gabaldoni,El BMW iX 50 2022 es superior al Tesla Model X | Primeras Impresiones,https://www.youtube.com/watch?v=PpaK84peNKc,PpaK84peNKc,,,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/PpaK84peNKc.json,youtube-library-output/knowledge/claims
BMW,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre BMW; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Jaime Gabaldoni,Jaime Gabaldoni,Volvo XC90 PHEV 2026: ¿El SUV híbrido premium más completo? | Prueba de Manejo | Jaime Gabaldoni,https://www.youtube.com/watch?v=I3uqdp9_2Cw,I3uqdp9_2Cw,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/I3uqdp9_2Cw.json,youtube-library-output/knowledge/claims
BMW,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre BMW; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Sergio Oliveira,Sergio Oliveira,BMW 540i iA M Sport 2018. ¿El mejor sedán de su clase en el mundo?,https://www.youtube.com/watch?v=K-UDgvs1A0g,K-UDgvs1A0g,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/K-UDgvs1A0g.json,youtube-library-output/knowledge/claims
BMW,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre BMW; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Sergio Oliveira,Sergio Oliveira,BMW Serie 7 2023. El mejor sedán en su categoría.,https://www.youtube.com/watch?v=1V3cZD0T66U,1V3cZD0T66U,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/1V3cZD0T66U.json,youtube-library-output/knowledge/claims
BMW,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre BMW; requiere revision editorial o AI antes de publicarse como afirmacion.,Sergio Oliveira,Sergio Oliveira,Chevrolet Bolt EV 2018. La mejor alternativa a un Tesla.,https://www.youtube.com/watch?v=Q6fnYdICjRc,Q6fnYdICjRc,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/Q6fnYdICjRc.json,youtube-library-output/knowledge/claims
BMW,negative,candidate_opinion,low,True,Pendiente de clasificar.,El video contiene una posible opinion critica sobre BMW; requiere revision editorial o AI antes de publicarse como afirmacion.,Sergio Oliveira,Sergio Oliveira,"¿Me lo compro o no me los compro? DFSK, Dodge, FIAT, Ferrari y Ford",https://www.youtube.com/watch?v=qIqbZJyEcL0,qIqbZJyEcL0,,es,local,local_candidate_no_verbatim,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/qIqbZJyEcL0.json,youtube-library-output/knowledge/claims
BYD,neutral,review_needed,low,True,Pendiente de clasificar.,"Fuente externa registrada sobre BYD; requiere subtitulo/AI o revision editorial para separar pros, contras y recomendaciones sin copiar el guion.",Autoboutique 1/4 de Milla,Autoboutique 1/4 de Milla,"155. Bloqueos de avenidas, Chevrolet Aveo 2024, BYD ya en México",https://www.youtube.com/watch?v=iMABxN0D1yY,iMABxN0D1yY,,,local,local_review_marker,paraphrased_claims_only,external-reference,embed_link_and_summarize_only,False,youtube-library-output/knowledge/claims/iMABxN0D1yY.json,youtube-library-output/knowledge/claims
