topic,slug,status,publication_score,claim_count,selected_claim_count,source_count,owned_tixuz_video_count,angle
Hyundai,hyundai,ready_for_human_editor,75,7,7,4,4,Guia de compra sobre Hyundai apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Volkswagen,volkswagen,research_brief_needs_editorial_review,51,7,6,5,1,Guia de compra sobre Volkswagen apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Alfa Romeo,alfa-romeo,research_brief_needs_editorial_review,22,6,2,2,0,"Alertas y puntos a revisar antes de comprar un Alfa Romeo, usando referencias externas como pistas editoriales."
BYD,byd,research_brief_needs_editorial_review,42,6,4,3,1,Guia de compra sobre BYD apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Fiat,fiat,research_brief_needs_editorial_review,50,6,6,4,1,Guia de compra sobre Fiat apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Kia,kia,research_brief_needs_editorial_review,50,6,6,4,1,Guia de compra sobre Kia apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Mitsubishi,mitsubishi,research_brief_needs_editorial_review,54,6,6,3,2,Guia de compra sobre Mitsubishi apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Peugeot,peugeot,research_brief_needs_editorial_review,38,6,5,4,0,"Mapa editorial de Peugeot: modelos, dudas frecuentes, reputacion y videos que conviene revisar antes de publicar."
Renault,renault,research_brief_needs_editorial_review,30,6,5,3,0,"Mapa editorial de Renault: modelos, dudas frecuentes, reputacion y videos que conviene revisar antes de publicar."
Subaru,subaru,research_brief_needs_editorial_review,66,6,5,3,3,Guia de compra sobre Subaru apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Chirey,chirey,research_brief_needs_editorial_review,33,5,5,2,1,Guia de compra sobre Chirey apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Cupra,cupra,research_brief_needs_editorial_review,45,5,3,2,2,Guia de compra sobre Cupra apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Suzuki,suzuki,research_brief_needs_editorial_review,53,5,5,3,2,Guia de compra sobre Suzuki apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Infiniti,infiniti,research_brief_needs_editorial_review,20,4,4,2,0,"Mapa editorial de Infiniti: modelos, dudas frecuentes, reputacion y videos que conviene revisar antes de publicar."
Ram,ram,research_brief_needs_editorial_review,56,4,4,2,4,Guia de compra sobre Ram apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
MG,mg,research_brief_needs_editorial_review,31,3,3,2,1,Guia de compra sobre MG apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Omoda,omoda,research_brief_needs_editorial_review,31,3,3,2,1,Guia de compra sobre Omoda apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Tesla,tesla,research_brief_needs_editorial_review,51,3,3,3,2,Guia de compra sobre Tesla apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Volvo,volvo,research_brief_needs_editorial_review,19,3,3,2,0,"Mapa editorial de Volvo: modelos, dudas frecuentes, reputacion y videos que conviene revisar antes de publicar."
JAC,jac,research_brief_needs_editorial_review,22,2,2,1,1,Guia de compra sobre JAC apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Lexus,lexus,research_brief_needs_editorial_review,30,2,1,2,1,Guia de compra sobre Lexus apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Mercedes-Benz,mercedes-benz,research_brief_needs_editorial_review,22,2,1,1,1,Guia de compra sobre Mercedes-Benz apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Mini,mini,research_brief_needs_editorial_review,34,2,0,1,2,Guia de compra sobre Mini apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
Abarth,abarth,research_brief_needs_editorial_review,9,1,0,1,0,"Alertas y puntos a revisar antes de comprar un Abarth, usando referencias externas como pistas editoriales."
Changan,changan,research_brief_needs_editorial_review,9,1,0,1,0,"Alertas y puntos a revisar antes de comprar un Changan, usando referencias externas como pistas editoriales."
Great Wall,great-wall,research_brief_needs_editorial_review,9,1,0,1,0,"Mapa editorial de Great Wall: modelos, dudas frecuentes, reputacion y videos que conviene revisar antes de publicar."
Jetour,jetour,research_brief_needs_editorial_review,9,1,1,1,0,"Fortalezas que compradores suelen considerar en Jetour, con fuentes externas como punto de partida."
Seat,seat,research_brief_needs_editorial_review,33,1,1,1,2,Guia de compra sobre Seat apoyada primero en videos propios de Tixuz y reforzada con referencias externas atribuidas.
